serial number,salinity,waterlevel,airtempreture,airpressure,latitude,longtitude,collected date
H1,534.0,11.618175739160506,24.73,1011.87,13.789384,100.50678,01/18/2023 05:48:24
H1,509.0,8.618542436954158,24.66,1012.23,13.789387,100.50677,01/18/2023 05:48:29
H1,496.0,16.36936292037717,24.67,1013.3,13.789389,100.50679,01/18/2023 05:48:34
H1,474.0,11.451506775825692,24.34,1013.89,13.789384,100.50683,01/18/2023 05:48:39
H1,475.0,11.784847370028729,24.33,1013.85,13.789382,100.50683,01/18/2023 05:48:44
H1,467.0,15.03547747880657,24.13,1011.46,13.789378,100.50683,01/18/2023 05:48:49
H1,470.0,13.868467866574065,24.0,1011.6,13.789376,100.50683,01/18/2023 05:48:54
H1,469.0,18.120346917261486,23.81,1011.09,13.789375,100.50683,01/18/2023 05:48:59
H1,470.0,13.868467866574065,23.62,1011.6,13.789375,100.50682,01/18/2023 05:49:04
H1,466.0,16.53611061565607,23.54,1011.28,13.789375,100.50682,01/18/2023 05:49:09
H1,471.0,13.118316459025664,23.38,1013.69,13.789369,100.50681,01/18/2023 05:49:14
H1,476.0,12.03485981812264,23.39,1013.82,13.789369,100.50681,01/18/2023 05:49:19
H1,471.0,11.201508332211233,23.4,1013.92,13.789364,100.50681,01/18/2023 05:49:24
H1,474.0,12.451560570552829,23.32,1013.77,13.789371,100.50682,01/18/2023 05:49:29
H1,467.0,5.703060351755994,23.13,1012.58,13.789371,100.50682,01/18/2023 05:49:34
H1,473.0,7.1190497155548655,23.13,1012.41,13.789371,100.50682,01/18/2023 05:49:39
H1,457.0,6.119507828065252,23.12,1012.53,13.78937,100.50682,01/18/2023 05:49:44
H1,471.0,13.951821358823508,23.15,1013.59,13.78937,100.50682,01/18/2023 05:49:49
H1,468.0,5.453199858471635,23.09,1012.61,13.789369,100.50682,01/18/2023 05:49:54
H1,471.0,8.28530317403056,22.96,1012.27,13.78937,100.50682,01/18/2023 05:49:59
H1,467.0,8.701853918784764,22.88,1012.22,13.78937,100.50682,01/18/2023 05:50:04
H1,462.0,6.785858427625499,22.88,1012.45,13.78937,100.50682,01/18/2023 05:50:09
H1,475.0,13.701762883683841,22.92,1013.62,13.789371,100.50682,01/18/2023 05:50:14
H1,473.0,13.701762883683841,22.89,1013.62,13.789371,100.50682,01/18/2023 05:50:19
H1,474.0,15.36893282042729,22.85,1013.42,13.789371,100.50682,01/18/2023 05:50:24
H1,558.0,25.37756208810606,28.17,1010.22,13.768547,100.49581,01/18/2023 05:50:29
H1,563.0,24.793461050234328,28.2,1010.29,13.768547,100.49581,01/18/2023 05:50:34
H1,568.0,24.04252215228189,28.19,1010.38,13.768547,100.49581,01/18/2023 05:50:39
H1,565.0,24.793461050234328,28.2,1010.29,13.768547,100.49581,01/18/2023 05:50:44
H1,572.0,22.37396294454811,28.22,1010.58,13.768547,100.49581,01/18/2023 05:50:49
